Wasserstoff,H,1.008,1,6
Helium,He,4.0026,18,6
Lithium,Li,6.94,1,5
Berylium,Be,9.0122,2,5
Bor,B,10.81,13,5
Kohlenstoff,C,12.011,14,5
Stickstoff,N,14.007,15,5
Sauerstoff,O,15.999,16,5
Fluor,F,18.998,17,5
Neon,Ne,20.180,18,5
Natrium,Na,22.990,1,4
Magnesium,Mg,24.305,2,4
Aluminium,Al,26.982,13,4
Silicium,Si,28.085,14,4
Phosphor,P,30.974,15,4
Schwefel,S,32.06,16,4
Chlor,Cl,35.45,17,4
Argon,Ar,39.948,18,4
Kalium,K,39.098,1,3
Calcium,Ca,40.078,2,3
Scandium,Sc,44.956,3,3
Titan,Ti,47.867,4,3
Vanadium,V,50.942,5,3
Chrom,Cr,51.996,6,3
Mangan,Mn,54.938,7,3
Eisen,Fe,55.845,8,3
Cobalt,Co,58.933,9,3
Nickel,Ni,58.693,10,3
Kupfer,Cu,63.546,11,3
Zink,Zn,65.380,12,3
Galium,Ga,69.723,13,3
Germanium,Ge,72.630,14,3
Arsen,As,74.922,15,3
Selen,Se,78.971,16,3
Brom,Br,79.904,17,3
Krypton,Kr,83.798,18,3
Rubidium,Rb,85.468,1,2
Strontium,Sr,87.62,2,2
Yttrium,Y,88.906,3,2
Zirconium,Zr,91.224,4,2
Niob,Nb,92.906,5,2
Molybdän,Mo,95.95,6,2
Technetium,Tc,96.906,7,2
Ruthenium,Ru,101.07,8,2
Rhodium,Rh,102.91,9,2
Palladium,Pd,106.42,10,2
Silber,Ag,107.87,11,2
Cadmium,Cd,112.41,12,2
Indium,In,114.82,13,2
Zinn,Sn,118.71,14,2
Antimon,Sb,121.76,15,2
Tellur,Te,127.60,16,2
Iod,I,126.90,17,2
Xenon,Xe,131.29,18,2
Caesium,Cs,132.01,1,1
Barium,Ba,137.33,2,1
Lanthan,La,138.91,3,1
Hafnium,Hf,178.49,4,1
Tantal,Ta,180.95,5,1
Wolfram,W,183.84,6,1
Rhenium,Re,186.21,7,1
Osmium,Os,190.23,8,1
Iridium,Ir,192.22,9,1
Platin,Pt,195.08,10,1
Gold,Au,196.97,11,1
Quecksilber,Hg,200.59,12,1
Thallium,Tl,204.38,13,1
Blei,Pb,207.20,14,1
Bismut,Bi,208.98,15,1
Polonium,Po,209.98,16,1
Astat,At,209.99,17,1
Radon,Rn,222.02,18,1